id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
efo-riro-bowl,Efo Riro,Each $35 · Regular $130,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/efo-riro-bowl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
egusi-soup-bowl,Egusi Soup,Each $35 · Regular $145,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/egusi-soup-bowl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
ofada-red-designer-sauce,Ofada Red (Designer Sauce),Pack $35 · Regular $125,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/ofada-red-designer-sauce.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
okra-seafood,Okra - Seafood,Soups & Stews · $40,in stock,new,40.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/okra-seafood.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
assorted-meat,Assorted Meat,Each $10 · Regular $110,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/assorted-meat.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
dodo-fried-plantain,Dodo (Fried Plantain),Each $10 · Regular $50 · Regular $100 · Regular $120,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/dodo-fried-plantain.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
dun-dun-fried-yam,Dun Dun (Fried Yam),Each $15 · Regular $50,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/dun-dun-fried-yam.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
eba-wrap,Eba - Wrap,Sides · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/eba-wrap.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
fried-rice-24oz,Fried Rice,Pack $18 · Regular $70 · Regular $215,in stock,new,18.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/fried-rice-24oz.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
fufu,Fufu,Each $6 · Each $7.5,in stock,new,6.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/fufu.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
jollof-rice,Jollof Rice,Pack $15 · Medium Tray $50 · Full Tray $100 · Regular $120 · Large Tray $150,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/jollof-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
mini-moi-moi,Mini Moi Moi,Sides · $2.5,in stock,new,2.50 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/mini-moi-moi.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
moi-moi-ekewe,Moi Moi Ekewe,Sides · $7.5,in stock,new,7.50 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/moi-moi-ekewe.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
moi-moi-1pc,Moi Moi — 1pc,(unnamed) $5 · Elewe $7.5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/moi-moi-1pc.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
ofada-rice,Ofada Rice,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/ofada-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-beef,Peppered Beef,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-beef.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-chicken,Peppered Chicken,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-chicken.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-fish,Peppered Fish,Each $10 · Regular $135,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-fish.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-goat-meat,Peppered Goat Meat,Sides · $20,in stock,new,20.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-goat-meat.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-snail,Peppered Snail,Sides · $30,in stock,new,30.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/peppered-snail.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
